pair,base,quote,state,tags,last_updated
blzusdt,blz,usdt,offline,st,2025-11-01 18:42:27
sovrnusdt,sovrn,usdt,offline,st,2025-11-01 18:42:27
prqusdt,prq,usdt,offline,st,2025-11-01 18:42:27
omniausdt,omnia,usdt,offline,st,2025-11-01 18:42:27
xplausdt,xpla,usdt,offline,st,2025-11-01 18:42:27
qspbtc,qsp,btc,offline,"griddisabled,st",2025-11-01 18:42:27
zkbusdt,zkb,usdt,offline,st,2025-11-01 18:42:27
wxtusdt,wxt,usdt,offline,st,2025-11-01 18:42:27
wwyusdt,wwy,usdt,offline,st,2025-11-01 18:42:27
kanusdt,kan,usdt,offline,st,2025-11-01 18:42:27
ivfunusdt,ivfun,usdt,offline,st,2025-11-01 18:42:27
auryusdt,aury,usdt,offline,st,2025-11-01 18:42:27
salteth,salt,eth,offline,st,2025-11-01 18:42:27
bullyusdt,bully,usdt,offline,st,2025-11-01 18:42:27
uftusdt,uft,usdt,offline,"st,abnormalmarket",2025-11-01 18:42:27
revvusdt,revv,usdt,offline,st,2025-11-01 18:42:27
orbrusdt,orbr,usdt,offline,st,2025-11-01 18:42:27
alusdt,al,usdt,online,st,2025-11-01 18:42:27
laiusdt,lai,usdt,offline,st,2025-11-01 18:42:27
rpkusdt,rpk,usdt,offline,st,2025-11-01 18:42:27
forusdt,for,usdt,offline,st,2025-11-01 18:42:27
evxeth,evx,eth,offline,st,2025-11-01 18:42:27
comusdt,com,usdt,offline,st,2025-11-01 18:42:27
mevusdt,mev,usdt,offline,st,2025-11-01 18:42:27
smtusdt,smt,usdt,offline,st,2025-11-01 18:42:27
griftusdt,grift,usdt,online,st,2025-11-01 18:42:27
crtsusdt,crts,usdt,online,st,2025-11-01 18:42:27
neirousdt,neiro,usdt,offline,st,2025-11-01 18:42:27
porkusdt,pork,usdt,offline,st,2025-11-01 18:42:27
juiceusdt,juice,usdt,offline,st,2025-11-01 18:42:27
tavausdt,tava,usdt,online,st,2025-11-01 18:42:27
rcnbtc,rcn,btc,offline,"griddisabled,st",2025-11-01 18:42:27
nptusdt,npt,usdt,offline,st,2025-11-01 18:42:27
bubbleusdt,bubble,usdt,offline,st,2025-11-01 18:42:27
spellusdt,spell,usdt,online,st,2025-11-01 18:42:27
shrapusdt,shrap,usdt,online,st,2025-11-01 18:42:27
slothusdt,sloth,usdt,offline,st,2025-11-01 18:42:27
muncatusdt,muncat,usdt,offline,st,2025-11-01 18:42:27
poohusdt,pooh,usdt,offline,st,2025-11-01 18:42:27
flzusdt,flz,usdt,online,st,2025-11-01 18:42:27
lvnusdt,lvn,usdt,offline,st,2025-11-01 18:42:27
vinuusdt,vinu,usdt,online,st,2025-11-01 18:42:27
yfiiusdt,yfii,usdt,offline,st,2025-11-01 18:42:27
sbtcbtc,sbtc,btc,offline,"st,abnormalmarket",2025-11-01 18:42:27
zlaeth,zla,eth,offline,st,2025-11-01 18:42:27
mongusdt,mong,usdt,offline,st,2025-11-01 18:42:27
musicusdt,music,usdt,online,st,2025-11-01 18:42:27
rplusdt,rpl,usdt,online,st,2025-11-01 18:42:27
desousdt,deso,usdt,offline,st,2025-11-01 18:42:27
kmdusdt,kmd,usdt,offline,st,2025-11-01 18:42:27
lithusdt,lith,usdt,offline,st,2025-11-01 18:42:27
nulsusdt,nuls,usdt,online,st,2025-11-01 18:42:27
slopusdt,slop,usdt,offline,st,2025-11-01 18:42:27
bullausdt,bulla,usdt,online,st,2025-11-01 18:42:27
nimusdt,nim,usdt,offline,st,2025-11-01 18:42:27
acsusdt,acs,usdt,online,st,2025-11-01 18:42:27
lambusdt,lamb,usdt,offline,st,2025-11-01 18:42:27
gearboxusdt,gearbox,usdt,online,st,2025-11-01 18:42:27
rbtcbtc,rbtc,btc,offline,st,2025-11-01 18:42:27
grailusdt,grail,usdt,offline,"st,innovate",2025-11-01 18:42:27
wsdmusdt,wsdm,usdt,online,st,2025-11-01 18:42:27
sunwukongusdt,sunwukong,usdt,offline,st,2025-11-01 18:42:27
elizactousdt,elizacto,usdt,offline,st,2025-11-01 18:42:27
eluusdt,elu,usdt,offline,st,2025-11-01 18:42:27
reiusdt,rei,usdt,online,st,2025-11-01 18:42:27
firousdt,firo,usdt,offline,st,2025-11-01 18:42:27
xtmusdt,xtm,usdt,offline,st,2025-11-01 18:42:27
fightusdt,fight,usdt,offline,st,2025-11-01 18:42:27
xemusdt,xem,usdt,online,st,2025-11-01 18:42:27
avaaiusdt,avaai,usdt,online,st,2025-11-01 18:42:27
mubiusdt,mubi,usdt,offline,st,2025-11-01 18:42:27
zelixusdt,zelix,usdt,offline,st,2025-11-01 18:42:27
mtlbtc,mtlold,btc,offline,"griddisabled,st",2025-11-01 18:42:27
tomiusdt,tomi,usdt,offline,st,2025-11-01 18:42:27
grokusdt,grok,usdt,online,st,2025-11-01 18:42:27
luceusdt,luce,usdt,offline,st,2025-11-01 18:42:27
watusdt,wat,usdt,offline,st,2025-11-01 18:42:27
avacnusdt,avacn,usdt,offline,st,2025-11-01 18:42:27
xpetusdt,xpet,usdt,offline,st,2025-11-01 18:42:27
snakesusdt,snakes,usdt,offline,st,2025-11-01 18:42:27
vrtxusdt,vrtx,usdt,offline,st,2025-11-01 18:42:27
topusdt,top,usdt,online,st,2025-11-01 18:42:27
borgusdt,borg,usdt,offline,st,2025-11-01 18:42:27
sillyusdt,silly,usdt,offline,st,2025-11-01 18:42:27
ssgusdt,ssg,usdt,offline,st,2025-11-01 18:42:27
ostbtc,ost,btc,offline,st,2025-11-01 18:42:27
fancusdt,fanc,usdt,offline,st,2025-11-01 18:42:27
apedusdt,aped,usdt,offline,st,2025-11-01 18:42:27
lrdsusdt,lrds,usdt,online,st,2025-11-01 18:42:27
nyanusdt,nyan,usdt,offline,st,2025-11-01 18:42:27
moovusdt,moov,usdt,offline,st,2025-11-01 18:42:27
prismausdt,prisma,usdt,offline,st,2025-11-01 18:42:27
polcusdt,polc,usdt,offline,st,2025-11-01 18:42:27
magausdt,maga,usdt,online,st,2025-11-01 18:42:27
cruusdt,cru,usdt,offline,st,2025-11-01 18:42:27
dcusdt,dc,usdt,offline,st,2025-11-01 18:42:27
ingusdt,ing,usdt,offline,st,2025-11-01 18:42:27
ctrlusdt,ctrl,usdt,offline,st,2025-11-01 18:42:27
xrusdt,xr,usdt,online,st,2025-11-01 18:42:27
logxusdt,logx,usdt,offline,st,2025-11-01 18:42:27
myrousdt,myro,usdt,online,st,2025-11-01 18:42:27
urousdt,uro,usdt,offline,st,2025-11-01 18:42:27
ethfusdt,ethf,usdt,offline,st,2025-11-01 18:42:27
lfusdt,lf,usdt,online,st,2025-11-01 18:42:27
elizausdt,eliza,usdt,offline,st,2025-11-01 18:42:27
1catusdt,1cat,usdt,offline,st,2025-11-01 18:42:27
